  .     .     .     .     .     .     .     .     .     .     .     .   -0.80 -0.50 -0.80 -0.60 
  .     .     .     .     .     .     .     .   -1.70 -0.80 -1.70 -1.20   .     .     .     . 
  .     .     .     .   -1.10 -0.40 -1.30 -0.60   .     .     .     .   -0.80 -0.50 -0.80 -0.60 
-0.70 -0.10 -0.70 -0.10   .     .     .     .   -0.70 -0.10 -0.70 -0.10   .     .     .     . 
  .     .     .     .     .     .     .     .     .     .     .     .   -0.30 -0.10 -0.20 -0.20 
  .     .     .     .     .     .     .     .   -0.20 -0.30 -0.00 -0.00   .     .     .     . 
  .     .     .     .   -0.50 -0.30 -0.20 -0.10   .     .     .     .   -0.30 -0.10 -0.20 -0.20 
-0.30 -0.30 -0.40 -0.20   .     .     .     .   -0.30 -0.30 -0.40 -0.20   .     .     .     . 
